,aptDong,aptNm,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landLeaseholdGbn,rgstDate,sggCd,slerGbn,umdNm
0,,햇빛주공23,1996,,,,40000,28,1,2022,중개거래,경기 고양덕양구,49.96,7,953,N,,41281,,행신동
1,,푸른마을10단지,2009,,,,50500,27,1,2022,중개거래,경기 고양덕양구,106.4462,13,1121,N,,41281,,고양동
2,,도래울파크뷰,2013,,,,79000,29,1,2022,중개거래,경기 고양덕양구,84.38,15,1103,N,,41281,,도내동
3,,햇빛주공23,1996,,,,43000,28,1,2022,중개거래,경기 고양덕양구,59.97,13,953,N,,41281,,행신동
4,,은빛마을11단지,1996,,,,47600,22,1,2022,중개거래,경기 고양덕양구,50,11,961,N,,41281,,화정동
5,,삼송2차원흥역동원로얄듀크비스타,2020,,,,80000,20,1,2022,중개거래,경기 고양덕양구,84.9867,34,635,N,,41281,,원흥동
6,,소만마을(풍림),1994,,,,36900,27,1,2022,중개거래,경기 고양덕양구,45.36,12,781,N,,41281,,행신동
7,,햇빛주공23,1996,,22.04.04,O,40000,28,1,2022,중개거래,경기 고양덕양구,49.96,6,953,N,,41281,,행신동
8,,윤창APT,1997,,,,59000,29,1,2022,중개거래,경기 고양덕양구,117.81,9,880-20,N,,41281,,토당동
9,,푸른마을5단지,2007,,,,39900,25,1,2022,중개거래,경기 고양덕양구,84.8265,12,730,N,,41281,,고양동
10,,도래울센트럴더포레,2014,,,,70000,21,1,2022,중개거래,경기 고양덕양구,84.97,3,983,N,,41281,,도내동
11,,햇빛주공22,1996,,,,42000,22,1,2022,중개거래,경기 고양덕양구,59.98,14,946,N,,41281,,행신동
12,,햇빛주공22,1996,,,,27000,27,1,2022,중개거래,경기 고양덕양구,39.99,3,946,N,,41281,,행신동
13,,별빛마을9단지(901동에서906동),1995,,,,69000,20,1,2022,중개거래,경기 고양덕양구,84.93,10,948,N,,41281,,화정동
14,,행신벽산,2000,,,,38800,24,1,2022,중개거래,경기 고양덕양구,59.43,1,653-38,N,,41281,,행신동
15,,장미아파트(나동),1991,,,,36000,21,1,2022,중개거래,경기 고양덕양구,79.06,8,644-1,N,,41281,,행신동
16,,고양삼송동원로얄듀크,2012,,,,78700,19,1,2022,중개거래,경기 고양덕양구,84.9609,18,306,N,,41281,,삼송동
17,,별빛마을9단지(907동에서912동),1995,,,,65000,24,1,2022,중개거래,경기 고양덕양구,84.93,7,948,N,,41281,,화정동
18,,달빛마을(부영)2,1996,,,,29500,27,1,2022,중개거래,경기 고양덕양구,50,1,851,N,,41281,,화정동
19,,삼송원흥역센트럴푸르지오,2018,,,,90000,13,1,2022,직거래,,84.5619,4,630,N,,41281,,원흥동
20,,도래울센트럴파크(CentralPark),2013,,,,59990,28,1,2022,중개거래,경기 고양덕양구,59.98,6,1011,N,,41281,,도내동
21,,대림2,1997,,,,54500,18,1,2022,중개거래,경기 고양덕양구,59.4,5,259,N,,41281,,토당동
22,,동산마을22단지호반베르디움,2012,,,,92000,28,1,2022,중개거래,경기 고양덕양구,84.954,4,365,N,,41281,,동산동
23,,별빛마을(부영)8(좋은집),1995,,,,42800,22,1,2022,중개거래,경기 고양덕양구,50,12,952,N,,41281,,화정동
24,,삼송2차원흥역동원로얄듀크비스타,2020,,,,80000,20,1,2022,중개거래,경기 고양덕양구,84.9867,31,635,N,,41281,,원흥동
25,,지축역센트럴푸르지오,2019,,,,100000,24,1,2022,중개거래,경기 고양덕양구,84.8637,2,904,N,,41281,,지축동
26,,스카이팰리스,2017,,,,32000,29,1,2022,중개거래,경기 고양덕양구,70.71,12,610-6,N,,41281,,주교동
27,,삼성래미안,2009,,,,75000,10,1,2022,중개거래,경기 고양덕양구,84.99,7,860,N,,41281,,성사동
28,,행신3차SKVIEW,2009,,,,82500,8,1,2022,중개거래,경기 고양덕양구,104.5787,5,650,N,,41281,,행신동
29,,서정마을5단지,2008,,,,82500,17,1,2022,중개거래,경기 고양덕양구,84.81,12,1088,N,,41281,,행신동
30,,별빛마을(부영)8(좋은집),1995,,,,45000,28,1,2022,중개거래,경기 고양덕양구,50,8,952,N,,41281,,화정동
31,,삼송2차아이파크,2015,,,,93000,8,1,2022,중개거래,경기 고양덕양구,84.739,19,311,N,,41281,,삼송동
32,,옥빛마을12단지,1995,,,,62200,19,1,2022,중개거래,경기 고양덕양구,59.195,6,988,N,,41281,,화정동
33,,무원마을(기산),1994,,,,68000,21,1,2022,중개거래,경기 고양덕양구,101.91,6,697,N,,41281,,행신동
34,,장미APT,1988,,,,50000,13,1,2022,중개거래,경기 고양덕양구,43.65,1,99-2,N,,41281,,토당동
35,,"미미아파트(가,나,다동)",1992,,,,37500,27,1,2022,중개거래,경기 고양덕양구,51.04,4,404-28,N,,41281,,성사동
36,,햇빛마을주공20,1997,,,,28500,15,1,2022,중개거래,경기 고양덕양구,39.99,3,934,N,,41281,,행신동
37,,소만마을(대명)7,1995,,,,40000,21,1,2022,중개거래,경기 고양덕양구,59.04,14,783,N,,41281,,행신동
38,,동산마을22단지호반베르디움,2012,,,,80000,17,1,2022,중개거래,경기 고양덕양구,84.9397,3,365,N,,41281,,동산동
39,,달빛(라이프)2,1996,,,,35000,12,1,2022,중개거래,경기 고양덕양구,49.95,14,851,N,,41281,,화정동
40,,신원마을1단지우남퍼스트빌,2015,,,,66000,6,1,2022,중개거래,경기 고양덕양구,64.9773,11,609,N,,41281,,신원동
41,,무원마을1단지,1995,,,,49000,27,1,2022,중개거래,경기 고양덕양구,68.98,7,773,N,,41281,,행신동
42,,원흥호반베르디움더퍼스트5단지,2017,,,,100000,7,1,2022,직거래,,84.9552,23,1006,N,,41281,,도내동
43,,거보플러스-2,2002,,,,21500,27,1,2022,중개거래,경기 고양덕양구,66.93,3,585-19,N,,41281,,주교동
44,,소만마을(대명)7,1995,,,,46000,20,1,2022,중개거래,경기 고양덕양구,59.04,15,783,N,,41281,,행신동
45,,신원당(태영2),1993,,,,42500,14,1,2022,중개거래,경기 고양덕양구,59.04,8,723,N,,41281,,성사동
46,,청구,1997,,,,21000,6,1,2022,직거래,,84.98,6,399,N,,41281,,고양동
47,,샘터마을2,1996,,,,46000,17,1,2022,중개거래,경기 고양덕양구,59.93,9,983,N,,41281,,행신동
48,,샘터마을2,1996,,,,43000,15,1,2022,중개거래,경기 고양덕양구,59.56,2,983,N,,41281,,행신동
49,,소만마을3단지(늘푸른아파트),1996,,,,39500,13,1,2022,중개거래,경기 고양덕양구,51.03,7,799,N,,41281,,행신동
50,,삼송2차아이파크,2015,,,,84000,25,1,2022,중개거래,경기 고양덕양구,74.988,18,311,N,,41281,,삼송동
