,aptNm,buildYear,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,excluUseAr,floor,sggCd,umdNm,dealYearMonth
0,햇빛주공23,1996,40000.0,28,1,2022,중개거래,49.96,7,41281,행신동,20221
1,푸른마을10단지,2009,50500.0,27,1,2022,중개거래,106.4462,13,41281,고양동,20221
2,도래울파크뷰(PARKVIEW),2013,79000.0,29,1,2022,중개거래,84.38,15,41281,도내동,20221
3,햇빛주공23,1996,43000.0,28,1,2022,중개거래,59.97,13,41281,행신동,20221
4,은빛마을11단지,1996,47600.0,22,1,2022,중개거래,50.0,11,41281,화정동,20221
5,삼송2차원흥역동원로얄듀크비스타,2020,80000.0,20,1,2022,중개거래,84.9867,34,41281,원흥동,20221
6,소만마을(풍림),1994,36900.0,27,1,2022,중개거래,45.36,12,41281,행신동,20221
8,윤창APT,1997,59000.0,29,1,2022,중개거래,117.81,9,41281,토당동,20221
9,푸른마을5단지,2007,39900.0,25,1,2022,중개거래,84.8265,12,41281,고양동,20221
10,도래울센트럴더포레,2014,70000.0,21,1,2022,중개거래,84.97,3,41281,도내동,20221
11,햇빛주공22,1996,42000.0,22,1,2022,중개거래,59.98,14,41281,행신동,20221
12,햇빛주공22,1996,27000.0,27,1,2022,중개거래,39.99,3,41281,행신동,20221
13,별빛마을9단지(벽산),1995,69000.0,20,1,2022,중개거래,84.93,10,41281,화정동,20221
14,행신벽산,2000,38800.0,24,1,2022,중개거래,59.43,1,41281,행신동,20221
15,장미아파트(나동),1991,36000.0,21,1,2022,중개거래,79.06,8,41281,행신동,20221
16,고양삼송동원로얄듀크,2012,78700.0,19,1,2022,중개거래,84.9609,18,41281,삼송동,20221
17,별빛마을9단지(코오롱),1995,65000.0,24,1,2022,중개거래,84.93,7,41281,화정동,20221
18,달빛마을(부영)2,1996,29500.0,27,1,2022,중개거래,50.0,1,41281,화정동,20221
19,삼송원흥역센트럴푸르지오,2018,90000.0,13,1,2022,직거래,84.5619,4,41281,원흥동,20221
20,도래울센트럴파크(CentralPark),2013,59990.0,28,1,2022,중개거래,59.98,6,41281,도내동,20221
21,대림2,1997,54500.0,18,1,2022,중개거래,59.4,5,41281,토당동,20221
22,동산마을22단지호반베르디움,2012,92000.0,28,1,2022,중개거래,84.954,4,41281,동산동,20221
23,별빛마을(부영)8(좋은집),1995,42800.0,22,1,2022,중개거래,50.0,12,41281,화정동,20221
24,삼송2차원흥역동원로얄듀크비스타,2020,80000.0,20,1,2022,중개거래,84.9867,31,41281,원흥동,20221
25,지축역센트럴푸르지오,2019,100000.0,24,1,2022,중개거래,84.8637,2,41281,지축동,20221
26,스카이팰리스,2017,32000.0,29,1,2022,중개거래,70.71,12,41281,주교동,20221
27,삼성래미안,2009,75000.0,10,1,2022,중개거래,84.99,7,41281,성사동,20221
28,행신3차SKVIEW,2009,82500.0,8,1,2022,중개거래,104.5787,5,41281,행신동,20221
29,서정마을5단지,2008,82500.0,17,1,2022,중개거래,84.81,12,41281,행신동,20221
30,별빛마을(부영)8(좋은집),1995,45000.0,28,1,2022,중개거래,50.0,8,41281,화정동,20221
31,삼송2차아이파크,2015,93000.0,8,1,2022,중개거래,84.739,19,41281,삼송동,20221
32,옥빛마을12단지,1995,62200.0,19,1,2022,중개거래,59.195,6,41281,화정동,20221
33,무원마을(기산),1994,68000.0,21,1,2022,중개거래,101.91,6,41281,행신동,20221
34,장미APT,1988,50000.0,13,1,2022,중개거래,43.65,1,41281,토당동,20221
35,"미미아파트(가,나,다동)",1992,37500.0,27,1,2022,중개거래,51.04,4,41281,성사동,20221
36,햇빛마을주공20,1997,28500.0,15,1,2022,중개거래,39.99,3,41281,행신동,20221
37,소만마을(대명)7,1995,40000.0,21,1,2022,중개거래,59.04,14,41281,행신동,20221
38,동산마을22단지호반베르디움,2012,80000.0,17,1,2022,중개거래,84.9397,3,41281,동산동,20221
39,달빛(라이프)2,1996,35000.0,12,1,2022,중개거래,49.95,14,41281,화정동,20221
40,신원마을1단지우남퍼스트빌,2015,66000.0,6,1,2022,중개거래,64.9773,11,41281,신원동,20221
41,무원마을1단지,1995,49000.0,27,1,2022,중개거래,68.98,7,41281,행신동,20221
42,원흥호반베르디움더퍼스트5단지,2017,100000.0,7,1,2022,직거래,84.9552,23,41281,도내동,20221
43,거보플러스-2,2002,21500.0,27,1,2022,중개거래,66.93,3,41281,주교동,20221
44,소만마을(대명)7,1995,46000.0,20,1,2022,중개거래,59.04,15,41281,행신동,20221
45,신원당(태영2),1993,42500.0,14,1,2022,중개거래,59.04,8,41281,성사동,20221
46,청구,1997,21000.0,6,1,2022,직거래,84.98,6,41281,고양동,20221
47,샘터주공2,1996,46000.0,17,1,2022,중개거래,59.93,9,41281,행신동,20221
48,샘터주공2,1996,43000.0,15,1,2022,중개거래,59.56,2,41281,행신동,20221
49,소만마을3단지(늘푸른아파트),1996,39500.0,13,1,2022,중개거래,51.03,7,41281,행신동,20221
50,삼송2차아이파크,2015,84000.0,25,1,2022,중개거래,74.988,18,41281,삼송동,20221
51,달빛마을4단지,1995,74000.0,17,1,2022,중개거래,133.89,18,41281,화정동,20221
52,햇빛마을주공20,1997,37500.0,14,1,2022,중개거래,49.97,14,41281,행신동,20221
53,샘터주공2,1996,43000.0,8,1,2022,중개거래,59.98,8,41281,행신동,20221
54,삼림(561-1),1987,31350.0,19,1,2022,중개거래,47.49,2,41281,주교동,20221
56,햇빛주공23,1996,43000.0,13,1,2022,중개거래,59.93,14,41281,행신동,20221
57,장미아파트(나동),1991,37500.0,23,1,2022,중개거래,79.06,12,41281,행신동,20221
58,햇빛마을주공20,1997,39000.0,15,1,2022,중개거래,59.97,1,41281,행신동,20221
59,지축역센트럴푸르지오,2019,88000.0,22,1,2022,중개거래,84.8637,29,41281,지축동,20221
60,삼송2차원흥역동원로얄듀크비스타,2020,80000.0,20,1,2022,중개거래,84.9867,31,41281,원흥동,20221
61,청보APT,1995,33850.0,15,1,2022,중개거래,99.0,1,41281,토당동,20221
62,옥빛마을(주공)15,1997,54000.0,8,1,2022,중개거래,59.97,12,41281,화정동,20221
64,행신동문,1998,36500.0,14,1,2022,중개거래,58.9875,9,41281,행신동,20221
65,윤창APT,1997,22500.0,14,1,2022,중개거래,84.96,1,41281,고양동,20221
66,지축역한림풀에버,2020,90000.0,12,1,2022,중개거래,84.968,4,41281,지축동,20221
67,소만마을(삼신),1994,39500.0,13,1,2022,중개거래,50.73,6,41281,행신동,20221
68,샘터주공2,1996,47000.0,4,1,2022,중개거래,59.98,14,41281,행신동,20221
69,새서울,1983,15500.0,11,1,2022,직거래,42.84,3,41281,관산동,20221
70,DMC호반베르디움더포레4단지,2019,109000.0,18,1,2022,중개거래,84.8984,13,41281,향동동,20221
71,능곡현대홈타운2,2002,68250.0,15,1,2022,중개거래,84.45,23,41281,토당동,20221
72,DMC중흥S-클래스더센트럴,2020,76000.0,5,1,2022,중개거래,59.9234,20,41281,향동동,20221
73,신원당(동신7),1992,65000.0,2,1,2022,중개거래,101.73,11,41281,성사동,20221
74,소만마을(대명)7,1995,48500.0,14,1,2022,중개거래,59.04,9,41281,행신동,20221
75,달빛(라이프)2,1996,42800.0,5,1,2022,중개거래,59.97,9,41281,화정동,20221
76,푸른마을10단지,2009,37500.0,13,1,2022,직거래,84.8767,9,41281,고양동,20221
77,화성그린빌,1998,25000.0,10,1,2022,중개거래,59.952,10,41281,고양동,20221
78,DMC호반베르디움더포레3단지,2019,95000.0,4,1,2022,직거래,84.8984,16,41281,향동동,20221
79,고양삼송동일스위트파크뷰7(1차),2017,69000.0,12,1,2022,중개거래,66.0346,28,41281,신원동,20221
80,무원마을(두산),1994,67000.0,4,1,2022,중개거래,84.93,15,41281,행신동,20221
81,소만마을3단지(늘푸른아파트),1996,43000.0,6,1,2022,중개거래,51.03,5,41281,행신동,20221
82,윤창APT,1997,20000.0,7,1,2022,중개거래,59.706,17,41281,고양동,20221
83,신원당(태영2),1993,41700.0,2,1,2022,중개거래,59.04,15,41281,성사동,20221
84,햇빛주공23,1996,45000.0,5,1,2022,중개거래,59.97,7,41281,행신동,20221
85,햇빛주공23,1996,28200.0,4,1,2022,중개거래,39.99,12,41281,행신동,20221
86,소만마을9단지,1995,34500.0,3,1,2022,중개거래,43.76,10,41281,행신동,20221
87,허스(151),1987,17000.0,6,1,2022,중개거래,57.96,3,41281,관산동,20221
88,별빛마을9단지(기산),1995,64500.0,4,1,2022,중개거래,84.93,3,41281,화정동,20221
89,강촌마을(진흥),1992,78800.0,22,1,2022,중개거래,101.88,12,41285,마두동,20221
