WRTTIME_IDTFR_ID,CLS_NM,ITM_NM,DTA_VAL,WRTTIME_DESC
202415,전국,지수,92.8585004571412,2024-04-08
202416,전국,지수,92.841909389675,2024-04-15
202417,전국,지수,92.8250507277522,2024-04-22
202418,전국,지수,92.8053801800868,2024-04-29
202419,전국,지수,92.7875806280743,2024-05-06
202420,전국,지수,92.7718286926691,2024-05-13
202421,전국,지수,92.77987598386,2024-05-20
202422,전국,지수,92.7860318382903,2024-05-27
202423,전국,지수,92.799775290003,2024-06-03
202424,전국,지수,92.7995132283236,2024-06-10
202425,전국,지수,92.8078428547633,2024-06-17
202426,전국,지수,92.8156228928419,2024-06-24
202427,전국,지수,92.840614753457,2024-07-01
202428,전국,지수,92.8792508882302,2024-07-08
202429,전국,지수,92.923480048693,2024-07-15
202430,전국,지수,92.9797254495971,2024-07-22
202431,전국,지수,93.04107,2024-07-29
202432,전국,지수,93.1029478637532,2024-08-05
202433,전국,지수,93.17353,2024-08-12
202434,전국,지수,93.24380815150187,2024-08-19
202435,전국,지수,93.31521217065719,2024-08-26
202436,전국,지수,93.3719734416194,2024-09-02
202437,전국,지수,93.4361077647658,2024-09-09
202438,전국,지수,93.47837765,2024-09-16
202439,전국,지수,93.515982196471,2024-09-23
202440,전국,지수,93.532456689165,2024-09-30
202415,6대광역시,지수,88.9893477051745,2024-04-08
202416,6대광역시,지수,88.9605262888993,2024-04-15
202417,6대광역시,지수,88.9311271212585,2024-04-22
202418,6대광역시,지수,88.9052508484231,2024-04-29
202419,6대광역시,지수,88.877051714114,2024-05-06
202420,6대광역시,지수,88.8464687733201,2024-05-13
202421,6대광역시,지수,88.8413220068671,2024-05-20
202422,6대광역시,지수,88.8303630826658,2024-05-27
202423,6대광역시,지수,88.8119547961591,2024-06-03
202424,6대광역시,지수,88.767283472628,2024-06-10
202425,6대광역시,지수,88.7275365232739,2024-06-17
202426,6대광역시,지수,88.6925413964581,2024-06-24
202427,6대광역시,지수,88.6599675198714,2024-07-01
202428,6대광역시,지수,88.6320832596316,2024-07-08
202429,6대광역시,지수,88.6107082477336,2024-07-15
202430,6대광역시,지수,88.5999829109014,2024-07-22
202431,6대광역시,지수,88.606155,2024-07-29
202432,6대광역시,지수,88.59169136316149,2024-08-05
202433,6대광역시,지수,88.58952,2024-08-12
202434,6대광역시,지수,88.59297709084005,2024-08-19
202435,6대광역시,지수,88.59926235010906,2024-08-26
202436,6대광역시,지수,88.605644164641,2024-09-02
202437,6대광역시,지수,88.606842124069,2024-09-09
202438,6대광역시,지수,88.59923524,2024-09-16
202439,6대광역시,지수,88.592391079934,2024-09-23
202440,6대광역시,지수,88.574056468964,2024-09-30
202415,서울,지수,94.1007378963854,2024-04-08
202416,서울,지수,94.1282836694169,2024-04-15
202417,서울,지수,94.1601283254741,2024-04-22
202418,서울,지수,94.1914606552021,2024-04-29
202419,서울,지수,94.2229022761546,2024-05-06
202420,서울,지수,94.2526009488759,2024-05-13
202421,서울,지수,94.2993380128441,2024-05-20
202422,서울,지수,94.3552693427119,2024-05-27
202423,서울,지수,94.4369018845182,2024-06-03
202424,서울,지수,94.5318850611852,2024-06-10
202425,서울,지수,94.6707545305908,2024-06-17
202426,서울,지수,94.8377764263787,2024-06-24
202427,서울,지수,95.0277990566846,2024-07-01
202428,서울,지수,95.260500434426,2024-07-08
202429,서울,지수,95.5253849073462,2024-07-15
202430,서울,지수,95.8098585137288,2024-07-22
202431,서울,지수,96.07805,2024-07-29
202432,서울,지수,96.32695385406792,2024-08-05
202433,서울,지수,96.63731,2024-08-12
202434,서울,지수,96.90692839979278,2024-08-19
202435,서울,지수,97.15459679081226,2024-08-26
202436,서울,지수,97.3600848913538,2024-09-02
202437,서울,지수,97.5843210419087,2024-09-09
202438,서울,지수,97.7443429,2024-09-16
202439,서울,지수,97.8658688111729,2024-09-23
202440,서울,지수,97.9629753268733,2024-09-30
202415,경기,지수,91.9886513328749,2024-04-08
202416,경기,지수,91.9673112672993,2024-04-15
202417,경기,지수,91.9434247278213,2024-04-22
202418,경기,지수,91.9139071828783,2024-04-29
202419,경기,지수,91.8890444321488,2024-05-06
202420,경기,지수,91.8740147963093,2024-05-13
202421,경기,지수,91.8659833892793,2024-05-20
202422,경기,지수,91.8690444436649,2024-05-27
202423,경기,지수,91.8931318163094,2024-06-03
202424,경기,지수,91.9148404888023,2024-06-10
202425,경기,지수,91.9336608044044,2024-06-17
202426,경기,지수,91.9475774479569,2024-06-24
202427,경기,지수,91.990649572354,2024-07-01
202428,경기,지수,92.0494921643771,2024-07-08
202429,경기,지수,92.1130757203997,2024-07-15
