WRTTIME_IDTFR_ID,CLS_ID,CLS_NM,ITM_NM,DTA_VAL,WRTTIME_DESC
202402,50001,전국,지수,88.7257110190599,2024-01-08
202403,50001,전국,지수,88.7415949680269,2024-01-15
202404,50001,전국,지수,88.7597245669303,2024-01-22
202405,50001,전국,지수,88.7637649477899,2024-01-29
202406,50001,전국,지수,88.7689263533827,2024-02-05
202407,50001,전국,지수,88.7776408573492,2024-02-12
202408,50001,전국,지수,88.7913453277432,2024-02-19
202409,50001,전국,지수,88.809307667953,2024-02-26
202410,50001,전국,지수,88.8321334723774,2024-03-04
202411,50001,전국,지수,88.8460786716024,2024-03-11
202412,50001,전국,지수,88.8646680840874,2024-03-18
202413,50001,전국,지수,88.8806436495886,2024-03-25
202414,50001,전국,지수,88.9061114979544,2024-04-01
202415,50001,전국,지수,88.933715299867,2024-04-08
202416,50001,전국,지수,88.9605769841816,2024-04-15
202417,50001,전국,지수,88.9810043575162,2024-04-22
202418,50001,전국,지수,89.0028481746917,2024-04-29
202419,50001,전국,지수,89.0295420786358,2024-05-06
202420,50001,전국,지수,89.0524625443929,2024-05-13
202421,50001,전국,지수,89.1164003216635,2024-05-20
202422,50001,전국,지수,89.1616399061554,2024-05-27
202423,50001,전국,지수,89.2005728184403,2024-06-03
202424,50001,전국,지수,89.2313569303066,2024-06-10
202425,50001,전국,지수,89.268896840513,2024-06-17
202426,50001,전국,지수,89.3072026184601,2024-06-24
202427,50001,전국,지수,89.3533377980962,2024-07-01
202428,50001,전국,지수,89.4002791910828,2024-07-08
202429,50001,전국,지수,89.4502514246331,2024-07-15
202430,50001,전국,지수,89.5076526637895,2024-07-22
202431,50001,전국,지수,89.55738,2024-07-29
202432,50001,전국,지수,89.61459669701054,2024-08-05
202433,50001,전국,지수,89.677444,2024-08-12
202434,50001,전국,지수,89.74552952505188,2024-08-19
202435,50001,전국,지수,89.81202771834474,2024-08-26
202436,50001,전국,지수,89.8728333287306,2024-09-02
202437,50001,전국,지수,89.9486547919882,2024-09-09
202438,50001,전국,지수,89.99957109,2024-09-16
202439,50001,전국,지수,90.0432257462304,2024-09-23
202440,50001,전국,지수,90.0839247434846,2024-09-30
202441,50001,전국,지수,90.130365746685,2024-10-07
202442,50001,전국,지수,90.1888533724779,2024-10-14
202402,50004,6대광역시,지수,84.8346348007769,2024-01-08
